298	255	0.2	461	15882	49.5854 173.445 37.7879 16.0772 30.7419 -187.033 -86.3732 162.237 106.054 -146.814 -56.1782 78.2888 49.3342 -68.4319 -44.5318 0.288591 1.57313 0.0847165 0.0625798 0.405882 1.33957 0.356699 0.807725 0.605318 1.8163 0.298714 1.22769 0.133195 0.576907 0.329699
298	255	0.5	232	7920	48.6072 172.674 37.4588 16.0229 28.6662 -184.796 -85.066 161.145 106.095 -141.905 -55.435 74.4312 49.0143 -64.9707 -42.6686 0.34553 1.94134 0.0994622 0.0739278 0.526944 1.697 0.430739 0.984296 0.748131 2.32015 0.389906 1.58484 0.155213 0.719308 0.416309
298	255	0.7	233	8132	50.045 166.14 37.4652 15.7242 29.3722 -182.429 -86.5102 157.986 102.203 -142.707 -56.0738 78.1146 48.6111 -66.9153 -43.1349 0.00147311 0.237058 0.00147199 0.0268998 0.0543107 0.662248 0.00147343 0.103272 0.433489 1.65911 0.133391 0.214749 0.0487046 0.0916695 0.0485316
298	255	0.9	252	7998	45.7484 151.898 34.6177 14.4634 26.2489 -166.972 -79.3661 146.49 94.0809 -130.936 -51.0385 70.2979 44.6815 -60.7912 -39.2684 0.00177531 0.646428 0.00177424 0.0568576 0.441889 0.335407 0.00177561 0.198052 0.510636 1.72155 0.258049 1.19418 0.0957124 0.558374 0.328203
298	265	0.2	1862	20927	21.4586 73.2038 13.5089 5.81572 12.6183 -79.6291 -33.9675 63.0938 41.2983 -61.3099 -22.3069 33.5368 17.7511 -26.4349 -17.2067 0.0997849 0.619685 0.0396259 0.0283064 0.165852 0.494593 0.129998 0.314685 0.248287 0.685292 0.101231 0.313953 0.0599993 0.217534 0.135363
298	265	0.5	935	10541	21.8638 72.6906 13.4915 5.77925 13.0096 -79.9628 -34.3553 62.7591 41.0179 -61.9824 -22.5031 33.8123 17.6574 -26.6503 -17.4149 0.00128253 0.0461403 0.00121952 0.00238701 0.0545004 0.201122 0.00149039 0.025269 0.0119561 0.0594608 0.0532267 0.371046 0.0131696 0.0983364 0.0120012
298	265	0.7	904	10604	22.3333 76.4168 13.867 5.91234 13.1335 -82.843 -35.2003 65.2768 42.6838 -64.5273 -23.0205 34.3544 18.1178 -27.2415 -17.6934 0.0605049 0.807876 0.0482782 0.0367248 0.223592 0.643345 0.108731 0.413939 0.324846 0.92986 0.10919 0.519731 0.0777394 0.298695 0.180278
298	265	0.9	947	10503	20.9016 71.0675 13.2088 5.60809 11.3683 -77.6375 -33.1103 61.4583 39.9541 -56.3595 -21.4324 30.9816 17.2401 -24.4165 -15.8455 0.134553 0.815925 0.0488846 0.0354434 0.216702 0.657271 0.171412 0.411544 0.319984 0.930403 0.135782 0.412024 0.0748818 0.29027 0.17581
298	275	0.2	3897	19433	12.5979 43.0547 6.59314 2.8346 7.20443 -46.7867 -18.1911 33.8797 22.1856 -35.3856 -11.918 19.1602 8.65014 -13.8237 -9.0425 0.0556911 0.360183 0.0219986 0.0149646 0.0952081 0.271652 0.0731083 0.162577 0.138278 0.384598 0.0538396 0.145187 0.0314868 0.117443 0.0752169
298	275	0.5	2058	9917	12.0844 41.3837 6.26728 2.70886 7.19639 -45.0573 -17.3517 32.2119 21.1381 -34.0859 -11.3943 18.8588 8.24941 -13.4967 -8.82817 0.0719318 0.472498 0.0264219 0.0187321 0.123178 0.348635 0.0927017 0.208849 0.178745 0.505788 0.068732 0.175493 0.0387386 0.146516 0.095944
