"",250,270,0.000000,0.400000,85.408940,299.174768,56.572576,35.612810,48.463940,-317.899025,-138.566420,262.069817,208.169147,-239.770088,-114.175605,125.554642,89.617997,-107.660091,-83.893731,1.684288,0.720352,0.410213,-1.756336,-0.370965,1.442611,3.106948,-0.270198,
"",270,290,0.000000,0.400000,135.357447,480.382612,67.125267,43.557418,75.690823,-508.249232,-189.395466,358.164729,283.024455,-374.524667,-147.094941,195.984657,107.622203,-138.764611,-108.925481,-1.282369,2.204897,5.084086,3.247536,-1.854197,3.929799,1.608476,1.779000,
"",290,310,0.000000,0.400000,158.199716,581.613588,57.573474,32.691877,79.797051,-602.122215,-188.349622,365.188571,270.502369,-434.081403,-145.504019,221.502201,86.183986,-139.089813,-104.483650,-3.865739,5.954386,0.304033,-0.609582,-2.671913,1.504015,9.505263,2.752001,
"",310,330,0.000000,0.400000,183.179211,673.331519,49.574585,25.564048,79.677755,-700.131547,-192.404306,364.025866,261.212714,-482.070879,-130.993634,245.697675,71.014288,-136.471170,-102.531693,-8.364224,0.207380,-2.446424,-6.751868,-1.751577,0.427831,-7.474556,-2.501329,
"",330,350,0.000000,0.400000,229.436379,774.858512,44.529606,20.352628,84.460468,-833.954229,-201.458717,371.368386,241.238195,-502.366329,-125.546676,269.623456,59.316489,-112.069928,-75.424591,6.561820,-9.106179,0.278071,3.136703,-1.998247,2.840511,-1.007274,-4.614960,
"",350,370,0.000000,0.400000,301.629055,987.008191,42.469719,11.797829,78.024507,-1076.860279,-225.334493,407.508877,227.600103,-564.204876,-111.660722,304.442698,46.454365,-114.667943,-67.566787,-3.557025,6.355665,8.102967,2.358814,0.691804,9.847798,-4.216995,-3.039869,
"",370,390,0.000000,0.400000,304.136072,1098.852686,36.104565,13.145100,83.146857,-1137.782226,-203.471563,400.080674,225.020500,-575.542009,-119.729605,293.088248,41.264208,-98.958050,-54.280618,18.747815,-15.000751,-1.136713,0.575145,0.871923,-3.507199,6.171856,-0.446514,
"",390,410,0.000000,0.400000,296.241539,1123.248224,30.511590,7.944984,77.093410,-1113.223527,-184.524029,369.298856,178.537559,-557.789428,-85.703738,248.418779,29.661893,-94.845615,-45.175162,-1.587256,3.844000,3.995402,-7.647687,-16.867181,16.648411,1.374998,5.942668,
"",410,430,0.000000,0.400000,247.352993,1099.923818,23.261164,5.335615,67.772896,-1004.401844,-146.149066,319.080181,157.608619,-519.385272,-64.450612,206.987061,21.899322,-82.307372,-41.564447,-1.420869,-2.803073,9.709921,4.978876,-2.966823,15.172802,-2.528984,-4.996301,
"",430,450,0.000000,0.400000,207.206120,1031.002769,17.981435,4.368796,71.362042,-886.922494,-115.855693,272.751734,127.898253,-475.184849,-37.349034,172.933316,16.453248,-64.853155,-35.501764,-7.428588,12.253123,3.347028,-4.100662,-3.431237,12.470962,-8.612310,-5.891437,
"",450,470,0.000000,0.400000,173.073291,954.813832,14.006750,2.985433,59.313748,-759.673829,-93.831550,227.635366,105.013309,-418.427052,-28.203944,121.002599,12.869205,-52.984267,-31.506155,-4.663248,3.953587,2.919562,-3.933952,0.647077,-2.473036,-12.016728,4.865114,
"",470,490,0.000000,0.400000,147.628018,851.403923,10.605668,2.210571,58.585449,-653.520042,-74.408982,187.984921,82.692135,-367.396307,-21.401054,101.851257,8.679271,-40.738435,-23.345276,1.746371,0.642276,5.845410,-1.007300,-5.097237,16.574856,-2.365405,-6.369190,
"",490,510,0.000000,0.400000,117.900159,778.558898,7.659645,0.772174,53.611874,-553.240743,-55.967563,153.968002,56.947145,-331.843937,-3.328829,81.011075,4.459426,-30.390184,-15.408866,1.779510,-3.536908,6.700188,11.044787,10.984223,1.869702,-1.905045,1.138687,
"",510,530,0.000000,0.400000,95.045063,697.562879,6.203054,2.070805,61.980528,-475.809509,-45.161529,129.020361,43.505786,-283.953772,-10.887278,53.516003,4.902303,-27.253213,-12.938626,-1.208831,3.382388,5.019549,-3.799595,-6.672954,5.850286,1.271584,6.876296,
"",530,550,0.000000,0.400000,72.715686,615.182801,4.605498,1.526756,44.476943,-383.087636,-33.583464,103.498102,44.674992,-241.564962,-2.978660,45.688315,4.407703,-18.423784,-18.646703,2.781728,-3.935685,-1.758857,2.363608,9.639298,-7.140409,-8.347891,-7.635773,
"",550,570,0.000000,0.400000,61.242149,547.816798,3.708759,0.626473,47.233833,-329.970658,-27.322517,85.960362,24.632474,-207.887141,4.780722,28.273197,2.110402,-13.318029,-15.288242,-6.769060,5.091330,1.119935,3.788122,-0.570082,5.900037,-0.315229,-1.050212,
"",570,590,0.000000,0.400000,50.419921,488.319204,2.572789,0.622689,43.414271,-267.032447,-20.588347,68.624137,33.030998,-189.342470,-1.387365,21.276943,2.286045,-9.860745,-16.491949,4.196917,0.862191,2.480555,1.152678,0.033883,-5.692301,-2.360054,4.034039,
"",590,610,0.000000,0.400000,38.039912,434.723448,1.510625,1.798223,48.865148,-239.700166,-13.168886,57.699313,15.515444,-166.514278,-4.166604,20.914938,1.773875,-12.830466,-9.649727,2.800070,-8.126960,-4.434003,0.354775,-2.369181,6.067802,-0.608549,-5.155957,
"",610,630,0.000000,0.400000,33.191037,385.563025,1.622900,-0.446430,45.705360,-200.515657,-12.263459,50.042921,22.745185,-140.693939,5.645820,20.931549,0.363498,-5.742201,-17.411155,1.839621,-1.136199,-5.726380,-1.326482,-1.979707,0.026841,-4.956619,-7.357894,
"",630,650,0.000000,0.400000,25.930540,344.720301,1.150614,0.528344,38.106701,-165.413223,-8.461256,42.787951,13.903622,-117.967743,-3.248544,4.810581,0.673030,-6.111827,-9.543833,0.141895,6.197987,-3.206307,-1.681153,2.973599,-8.307034,5.598397,3.811749,
"",650,670,0.000000,0.400000,20.162223,304.201379,0.702693,2.289873,38.420056,-141.040696,-5.303030,34.476559,11.908604,-100.400793,-10.526429,1.158452,1.823568,-6.602757,-4.776108,3.086196,-4.852098,-5.428486,1.096001,2.422413,-4.453034,6.539387,-1.569413,
"",670,700,0.000000,0.400000,17.435478,262.007925,0.542675,0.548622,35.986286,-122.463580,-5.921730,25.690753,6.329843,-83.201305,6.527326,3.435845,0.502360,-2.888175,-5.573304,-1.088082,3.351775,3.350620,-3.064838,-3.939262,9.780785,-5.277002,-2.838408,
